Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;3

EWMA_Termico;22.22%;0.3333;0.0 seg;2;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;3

EWMA_Termico;22.22%;0.3333;0.0 seg;2;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;3

EWMA_Termico;22.22%;0.3333;0.0 seg;2;7;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;3

EWMA_Termico;22.22%;0.3333;0.0 seg;2;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;3

EWMA_Termico;22.22%;0.3333;0.0 seg;2;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;3

EWMA_Termico;22.22%;0.3333;0.0 seg;2;7;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;3

EWMA_Termico;22.22%;0.3333;0.0 seg;2;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;100.00%;0.4000;0.0 seg;1;0;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;100.00%;0.4000;0.0 seg;1;0;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Z-Score_Termico;100.00%;0.4000;0.0 seg;1;0;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;50.00%;0.3333;0.0 seg;1;1;3

EWMA_Termico;22.22%;0.3077;0.0 seg;2;7;2

